Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Harga Jual Besar Satuan,Harga Jual Besar Grosir,Harga Jual Besar Promo,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset
SIKU LUBANG TEBAL,SIKLUBTB,SIKLUBTB,Alat tukang,PCS,,,tidak,0,50000,0,,0,0,0,5,,,1,,,,,,,,,0,0
SIKU LUBANG TIPIS,SIKULUBT,SIKULUBT,Alat tukang,PCS,,,tidak,0,36000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"SIKU MAGNET LAS 3"" TOKIO",SK MGNT 3,MTOSIK01,Umum,PCS,TOKIO,,tidak,0,12500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 10 X 12 GDO,SR10X12,MGDSIK02,Umum,PCS,GDO,,tidak,0,62500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 10X12 BIASA,SR10X12 NI,MNOSIK07,Umum,PCS,,,tidak,0,13000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 12 X 14 GDO,SR12X14,MGDSIK03,Umum,PCS,GDO,,tidak,0,95000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 12 X 14 MJP,SR12X14 MJ,MMJSIK01,Umum,PCS,MJP,,tidak,0,75000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 12X14 BIASA,SR12X14 NI,MNOSIK08,Umum,PCS,,,tidak,0,18000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 6 X 8,SR6X8 NI,MNOSIK09,Umum,PCS,,,tidak,0,30455,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 6 X 8 GDO,SR6X8,MGDSIK04,Umum,PCS,GDO,,tidak,0,43500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 8 X 10 GDO,SR8X10,MGDSIK05,Umum,PCS,GDO,,tidak,0,44000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SIKU RAK 8 X 10 MJP,SR8X10 MJ,MNOSIK10,Umum,PCS,,,tidak,0,52500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
